,Shape,Price,Carat,CutGrade,Color,Clarity,Delivery_date
0,Cushion,$370 ,0.27,Very Good,F,SI1,14-Apr
1,Cushion,$376 ,0.4,Very Good,J,SI1,19-Apr
2,Cushion,$400 ,0.3,Very Good,D,SI1,14-Apr
3,Cushion,$402 ,0.32,Very Good,J,VVS2,14-Apr
4,Cushion,$430 ,0.3,Very Good,F,SI1,14-Apr
5,Cushion,$444 ,0.33,Very Good,J,VS1,24-Apr
6,Cushion,$444 ,0.32,Very Good,F,SI2,20-Apr
7,Cushion,$447 ,0.37,Very Good,J,VS1,24-Apr
8,Cushion,$455 ,0.32,Very Good,J,VVS1,24-Apr
9,Cushion,$459 ,0.33,Very Good,J,VVS1,21-Apr
10,Cushion,$464 ,0.5,Very Good,J,SI2,24-Apr
11,Cushion,$465 ,0.23,Very Good,D,VS2,17-Apr
12,Cushion,$470 ,0.5,Very Good,J,VS2,24-Apr
13,Cushion,$471 ,0.34,Very Good,I,VVS2,24-Apr
14,Cushion,$472 ,0.3,Very Good,F,SI1,20-Apr
15,Cushion,$478 ,0.33,Very Good,J,VVS2,24-Apr
16,Cushion,$480 ,0.3,Very Good,F,VVS2,14-Apr
17,Cushion,$483 ,0.3,Very Good,F,VS2,21-Apr
18,Cushion,$484 ,0.32,Very Good,F,SI2,24-Apr
19,Cushion,$492 ,0.31,Very Good,I,VVS2,24-Apr
20,Cushion,$497 ,0.34,Very Good,F,SI1,24-Apr
21,Cushion,$502 ,0.39,Very Good,H,VS2,21-Apr
22,Cushion,$507 ,0.43,Very Good,J,VS2,14-Apr
23,Cushion,$513 ,0.33,Very Good,F,SI1,20-Apr
24,Cushion,$513 ,0.4,Very Good,I,VS2,20-Apr
25,Cushion,$514 ,0.35,Very Good,F,SI1,24-Apr
26,Cushion,$514 ,0.31,Very Good,F,VS2,20-Apr
27,Cushion,$515 ,0.5,Very Good,J,SI1,19-Apr
28,Cushion,$520 ,0.31,Very Good,G,VVS1,14-Apr
29,Cushion,$524 ,0.5,Very Good,I,SI2,19-Apr
30,Cushion,$525 ,0.3,Very Good,F,VS1,20-Apr
31,Cushion,$531 ,0.4,Very Good,G,SI2,20-Apr
32,Cushion,$531 ,0.31,Very Good,E,VS1,21-Apr
33,Cushion,$532 ,0.51,Very Good,J,SI1,20-Apr
34,Cushion,$535 ,0.31,Very Good,E,VS2,21-Apr
35,Cushion,$536 ,0.46,Very Good,H,SI2,20-Apr
36,Cushion,$537 ,0.34,Very Good,J,IF,24-Apr
37,Cushion,$543 ,0.54,Very Good,J,SI1,18-Apr
38,Cushion,$547 ,0.5,Very Good,J,SI1,19-Apr
39,Cushion,$549 ,0.4,Very Good,J,VS2,24-Apr
40,Cushion,$549 ,0.38,Very Good,I,VS1,17-Apr
41,Cushion,$551 ,0.4,Very Good,J,VS1,24-Apr
42,Cushion,$552 ,0.51,Very Good,J,SI1,18-Apr
43,Cushion,$553 ,0.4,Very Good,J,VS1,21-Apr
44,Cushion,$554 ,0.41,Very Good,J,SI1,24-Apr
45,Cushion,$556 ,0.49,Very Good,J,SI1,20-Apr
46,Cushion,$556 ,0.4,Very Good,I,VS2,20-Apr
47,Cushion,$559 ,0.51,Very Good,I,SI2,19-Apr
48,Cushion,$559 ,0.3,Very Good,G,VVS2,24-Apr
49,Cushion,$560 ,0.32,Very Good,D,SI1,17-Apr
50,Cushion,$560 ,0.52,Very Good,H,SI2,14-Apr
51,Cushion,$561 ,0.35,Very Good,D,VS1,19-Apr
52,Cushion,$563 ,0.42,Very Good,J,VVS2,24-Apr
53,Cushion,$563 ,0.4,Very Good,E,SI1,24-Apr
54,Cushion,$563 ,0.4,Very Good,I,SI2,24-Apr
55,Cushion,$564 ,0.46,Very Good,I,VS2,20-Apr
56,Cushion,$565 ,0.36,Very Good,H,VVS2,20-Apr
57,Cushion,$566 ,0.4,Very Good,J,VS2,24-Apr
58,Cushion,$566 ,0.4,Very Good,G,VS2,20-Apr
59,Cushion,$567 ,0.41,Very Good,J,SI1,24-Apr
60,Cushion,$567 ,0.3,Very Good,F,VS1,24-Apr
61,Cushion,$567 ,0.31,Very Good,E,VS1,24-Apr
62,Cushion,$568 ,0.4,Very Good,I,VVS2,20-Apr
63,Cushion,$570 ,0.48,Very Good,J,VS1,14-Apr
64,Cushion,$570 ,0.31,Very Good,E,VVS2,14-Apr
65,Cushion,$572 ,0.41,Very Good,F,SI1,24-Apr
66,Cushion,$573 ,0.5,Very Good,G,SI2,25-Apr
67,Cushion,$574 ,0.34,Very Good,G,VS1,24-Apr
68,Cushion,$574 ,0.5,Very Good,I,SI1,19-Apr
69,Cushion,$576 ,0.3,Very Good,E,VVS2,24-Apr
70,Cushion,$577 ,0.5,Very Good,I,SI1,24-Apr
71,Cushion,$581 ,0.34,Very Good,G,VS1,24-Apr
72,Cushion,$584 ,0.4,Very Good,G,SI1,24-Apr
73,Cushion,$585 ,0.36,Very Good,G,VS2,21-Apr
74,Cushion,$585 ,0.35,Very Good,D,VVS1,14-Apr
75,Cushion,$586 ,0.4,Very Good,I,VVS1,24-Apr
76,Cushion,$586 ,0.36,Very Good,I,VS1,21-Apr
77,Cushion,$586 ,0.3,Very Good,E,VS1,24-Apr
78,Cushion,$586 ,0.3,Very Good,E,VS1,24-Apr
79,Cushion,$587 ,0.46,Very Good,J,VS2,24-Apr
80,Cushion,$590 ,0.41,Very Good,E,SI1,14-Apr
81,Cushion,$591 ,0.43,Very Good,J,VVS2,24-Apr
82,Cushion,$591 ,0.39,Very Good,F,VS1,19-Apr
83,Cushion,$591 ,0.55,Very Good,J,SI2,20-Apr
84,Cushion,$593 ,0.41,Very Good,F,SI1,24-Apr
85,Cushion,$593 ,0.38,Very Good,I,VVS1,24-Apr
86,Cushion,$595 ,0.33,Very Good,E,VS1,24-Apr
87,Cushion,$598 ,0.5,Very Good,J,VVS2,20-Apr
88,Cushion,$598 ,0.41,Very Good,J,VS1,21-Apr
89,Cushion,$600 ,0.43,Very Good,I,VS1,19-Apr
90,Cushion,$600 ,0.41,Very Good,J,VS2,14-Apr
91,Cushion,$601 ,0.54,Very Good,I,SI2,19-Apr
92,Cushion,$603 ,0.5,Very Good,I,SI1,19-Apr
93,Cushion,$603 ,0.41,Very Good,F,SI1,24-Apr
94,Cushion,$604 ,0.41,Very Good,H,VVS2,20-Apr
95,Cushion,$605 ,0.43,Very Good,I,VVS1,19-Apr
96,Cushion,$607 ,0.5,Very Good,I,SI1,19-Apr
97,Cushion,$607 ,0.33,Very Good,E,VS2,24-Apr
98,Cushion,$609 ,0.33,Very Good,D,VS2,24-Apr
99,Cushion,$609 ,0.53,Very Good,H,SI2,24-Apr
100,Cushion,$611 ,0.46,Very Good,E,SI1,20-Apr
101,Cushion,$611 ,0.31,Very Good,D,VS1,24-Apr
102,Cushion,$611 ,0.5,Very Good,I,VS2,21-Apr
103,Cushion,$612 ,0.5,Very Good,J,VS2,21-Apr
104,Cushion,$612 ,0.52,Very Good,I,SI1,18-Apr
105,Cushion,$614 ,0.43,Very Good,J,VVS2,24-Apr
106,Cushion,$617 ,0.38,Very Good,E,VVS2,19-Apr
107,Cushion,$618 ,0.33,Very Good,G,VVS1,24-Apr
108,Cushion,$619 ,0.4,Very Good,F,SI1,24-Apr
109,Cushion,$620 ,0.35,Very Good,F,VS1,24-Apr
110,Cushion,$620 ,0.51,Very Good,G,SI2,14-Apr
111,Cushion,$620 ,0.36,Very Good,D,VS1,14-Apr
112,Cushion,$621 ,0.35,Very Good,D,VS2,24-Apr
113,Cushion,$621 ,0.51,Very Good,G,SI2,25-Apr
114,Cushion,$621 ,0.41,Very Good,I,VVS2,21-Apr
115,Cushion,$622 ,0.4,Very Good,I,VVS2,21-Apr
116,Cushion,$622 ,0.4,Very Good,F,SI1,24-Apr
117,Cushion,$622 ,0.3,Very Good,E,VVS2,24-Apr
118,Cushion,$623 ,0.41,Very Good,I,VS1,24-Apr
119,Cushion,$624 ,0.41,Very Good,G,SI2,24-Apr
120,Cushion,$624 ,0.3,Very Good,F,VVS1,20-Apr
121,Cushion,$626 ,0.53,Very Good,I,SI2,19-Apr
122,Cushion,$626 ,0.41,Very Good,I,VVS1,19-Apr
123,Cushion,$626 ,0.5,Very Good,I,SI2,19-Apr
124,Cushion,$628 ,0.43,Very Good,I,SI1,24-Apr
125,Cushion,$628 ,0.33,Very Good,E,VVS2,24-Apr
126,Cushion,$629 ,0.33,Very Good,D,VVS1,19-Apr
127,Cushion,$631 ,0.5,Very Good,J,VS2,19-Apr
128,Cushion,$633 ,0.5,Very Good,H,SI2,20-Apr
129,Cushion,$634 ,0.39,Very Good,I,VS1,21-Apr
130,Cushion,$635 ,0.41,Very Good,I,VVS1,21-Apr
131,Cushion,$635 ,0.42,Very Good,F,SI2,24-Apr
132,Cushion,$637 ,0.51,Very Good,J,VS2,21-Apr
133,Cushion,$638 ,0.51,Very Good,I,SI1,19-Apr
134,Cushion,$639 ,0.46,Very Good,H,VS2,20-Apr
135,Cushion,$639 ,0.34,Very Good,D,VVS2,14-Apr
136,Cushion,$640 ,0.4,Very Good,H,VS1,20-Apr
137,Cushion,$640 ,0.41,Very Good,D,SI1,14-Apr
