,Shape,Price,Carat,CutGrade,Color,Clarity,Delivery_date
0,Emerald,$324 ,0.31,Very Good,G,SI2,19-Apr
1,Emerald,$335 ,0.27,Very Good,G,VS2,21-Apr
2,Emerald,$340 ,0.31,Very Good,E,SI2,14-Apr
3,Emerald,$346 ,0.33,Very Good,E,SI2,21-Apr
4,Emerald,$348 ,0.3,Very Good,I,SI2,24-Apr
5,Emerald,$351 ,0.29,Very Good,J,VS2,21-Apr
6,Emerald,$352 ,0.32,Very Good,F,SI2,19-Apr
7,Emerald,$359 ,0.37,Very Good,J,VVS1,24-Apr
8,Emerald,$360 ,0.34,Very Good,E,SI2,19-Apr
9,Emerald,$360 ,0.24,Very Good,G,VS2,14-Apr
10,Emerald,$366 ,0.31,Very Good,E,SI2,19-Apr
11,Emerald,$366 ,0.31,Very Good,E,SI2,19-Apr
12,Emerald,$367 ,0.32,Very Good,E,SI2,19-Apr
13,Emerald,$370 ,0.25,Very Good,E,SI1,14-Apr
14,Emerald,$375 ,0.3,Very Good,I,SI1,20-Apr
15,Emerald,$380 ,0.3,Very Good,D,SI2,14-Apr
16,Emerald,$380 ,0.24,Very Good,G,VS2,14-Apr
17,Emerald,$380 ,0.24,Very Good,H,VS2,14-Apr
18,Emerald,$381 ,0.31,Very Good,J,VS1,21-Apr
19,Emerald,$385 ,0.3,Very Good,I,SI1,24-Apr
20,Emerald,$387 ,0.31,Very Good,J,VS2,24-Apr
21,Emerald,$388 ,0.3,Very Good,J,VS1,24-Apr
22,Emerald,$390 ,0.31,Very Good,F,SI2,14-Apr
23,Emerald,$393 ,0.31,Very Good,E,SI2,24-Apr
24,Emerald,$399 ,0.32,Very Good,I,VVS1,19-Apr
25,Emerald,$400 ,0.26,Very Good,E,VS1,14-Apr
26,Emerald,$402 ,0.27,Very Good,F,VS2,20-Apr
27,Emerald,$408 ,0.3,Very Good,F,SI2,21-Apr
28,Emerald,$409 ,0.35,Very Good,E,SI2,19-Apr
29,Emerald,$410 ,0.23,Very Good,E,VS2,14-Apr
30,Emerald,$410 ,0.3,Very Good,F,SI1,14-Apr
31,Emerald,$410 ,0.3,Very Good,F,SI2,14-Apr
32,Emerald,$413 ,0.33,Very Good,F,SI1,19-Apr
33,Emerald,$419 ,0.32,Very Good,J,VVS2,21-Apr
34,Emerald,$420 ,0.3,Very Good,F,SI2,21-Apr
35,Emerald,$420 ,0.26,Very Good,G,VS1,14-Apr
36,Emerald,$421 ,0.37,Very Good,G,SI1,19-Apr
37,Emerald,$422 ,0.3,Very Good,I,VVS2,24-Apr
38,Emerald,$425 ,0.3,Very Good,H,SI1,21-Apr
39,Emerald,$429 ,0.31,Very Good,I,VS1,24-Apr
40,Emerald,$430 ,0.31,Very Good,H,VS2,21-Apr
41,Emerald,$431 ,0.3,Very Good,F,SI2,21-Apr
42,Emerald,$432 ,0.4,Very Good,H,SI2,19-Apr
43,Emerald,$432 ,0.29,Very Good,F,SI1,21-Apr
44,Emerald,$433 ,0.4,Very Good,G,SI2,19-Apr
45,Emerald,$435 ,0.31,Very Good,I,VS2,21-Apr
46,Emerald,$442 ,0.4,Very Good,H,SI2,19-Apr
47,Emerald,$446 ,0.3,Very Good,I,VS1,21-Apr
48,Emerald,$446 ,0.3,Very Good,E,SI1,21-Apr
49,Emerald,$446 ,0.3,Very Good,E,SI1,21-Apr
50,Emerald,$447 ,0.33,Very Good,I,VS1,20-Apr
51,Emerald,$448 ,0.29,Very Good,E,VS2,19-Apr
52,Emerald,$454 ,0.31,Very Good,E,SI2,21-Apr
53,Emerald,$454 ,0.31,Very Good,I,VS1,24-Apr
54,Emerald,$455 ,0.3,Very Good,I,VVS2,21-Apr
55,Emerald,$456 ,0.3,Very Good,I,VVS1,24-Apr
56,Emerald,$460 ,0.27,Very Good,F,SI2,21-Apr
57,Emerald,$462 ,0.4,Very Good,I,SI1,19-Apr
58,Emerald,$463 ,0.26,Very Good,D,SI1,20-Apr
59,Emerald,$469 ,0.4,Very Good,G,SI2,19-Apr
60,Emerald,$470 ,0.31,Very Good,G,VS1,14-Apr
61,Emerald,$473 ,0.4,Very Good,I,SI1,19-Apr
62,Emerald,$478 ,0.31,Very Good,F,SI1,14-Apr
63,Emerald,$484 ,0.3,Very Good,F,SI1,21-Apr
64,Emerald,$484 ,0.3,Very Good,H,VS1,24-Apr
65,Emerald,$487 ,0.26,Very Good,H,VS2,20-Apr
66,Emerald,$490 ,0.34,Very Good,E,SI1,14-Apr
67,Emerald,$493 ,0.31,Very Good,H,IF,20-Apr
68,Emerald,$497 ,0.3,Very Good,F,SI1,21-Apr
69,Emerald,$498 ,0.3,Very Good,F,VS2,21-Apr
70,Emerald,$499 ,0.3,Very Good,H,VS1,17-Apr
71,Emerald,$499 ,0.3,Very Good,E,SI2,14-Apr
72,Emerald,$499 ,0.32,Very Good,I,VVS1,24-Apr
73,Emerald,$500 ,0.31,Very Good,E,SI1,17-Apr
74,Emerald,$500 ,0.34,Very Good,G,IF,14-Apr
75,Emerald,$500 ,0.31,Very Good,E,SI1,14-Apr
76,Emerald,$500 ,0.3,Very Good,F,VVS2,14-Apr
77,Emerald,$500 ,0.31,Very Good,H,VVS2,14-Apr
78,Emerald,$501 ,0.4,Very Good,H,SI1,19-Apr
79,Emerald,$504 ,0.3,Very Good,H,VS2,24-Apr
80,Emerald,$510 ,0.33,Very Good,G,VVS2,14-Apr
81,Emerald,$510 ,0.33,Very Good,F,VVS2,14-Apr
82,Emerald,$510 ,0.35,Very Good,H,VVS1,24-Apr
